set,source,model,n_test,h_rel_l2_mean,h_rel_l2_median,c_rel_l2_mean,c_rel_l2_median,mbe_w_mean_final,mbe_c_mean_final,front_error_mean_cm,bt_mae_hours,n_breakthrough,run_dir
E6_extreme_peaktime_v1,shift_ood_peak,m1,29,0.31765451083001595,0.296962030226235,0.31727689131400827,0.287826672334372,29.360633850097656,156.8606719970703,12.412060104673591,17.92,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__shift_ood_peak
E6_extreme_peaktime_v1,shift_ood_peak,m2_data,29,0.295010191184533,0.23766865334959705,0.1877072131759528,0.15650455950644132,16.007991790771484,147.49560546875,8.447037211891567,10.125,24,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__shift_ood_peak
E6_extreme_peaktime_v1,shift_ood_peak,m2_score,29,0.29361999652552506,0.2364376379653492,0.19393768663307734,0.16439436399779192,15.308266639709473,114.79331970214844,8.682427749593234,17.84,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__shift_ood_peak
E8_joint_shift_v1,iid_baseline,m1,24,0.4102636688501755,0.39060204414317207,0.5735187841050262,0.31110916905932995,42.53400802612305,57.48640823364258,19.62401291739754,5.466666666666667,15,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E8_joint_shift_v1__iid_baseline
E8_joint_shift_v1,iid_baseline,m2_data,24,0.32041323125124044,0.287005641219257,0.45975678169703693,0.16422573352961997,45.77241134643555,56.25197219848633,10.594984127962713,4.8,15,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E8_joint_shift_v1__iid_baseline
E8_joint_shift_v1,iid_baseline,m2_score,24,0.3397177291619072,0.31514336110648355,0.43896405521943743,0.21180257641301403,41.41621780395508,53.2613639831543,12.392955053391235,6.666666666666667,15,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E8_joint_shift_v1__iid_baseline
E8_joint_shift_v1,iid_baseline,fnn,24,0.3293086238469028,0.3227213924160154,0.4302138101394239,0.13835038087763935,57.08572769165039,52.597076416015625,12.385741464496064,1.2666666666666666,15,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E8_joint_shift_v1__iid_baseline
E8_joint_shift_v1,iid_baseline,fno,24,0.5554621126038867,0.5287582985731524,1.468837037521017,0.6815336406520514,148.40916442871094,94.65584564208984,29.548956938332367,3.7333333333333334,15,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E8_joint_shift_v1__iid_baseline
E8_joint_shift_v1,ood_peak_baseline,m1,24,0.3425308207946521,0.3146514634269365,0.481821059808247,0.17261113957445623,53.59199905395508,55.118896484375,12.868387706654005,2.8,15,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E8_joint_shift_v1__ood_peak_baseline
E8_joint_shift_v1,ood_peak_baseline,m2_data,24,0.34391729897104,0.3075718478694207,0.41823193128535513,0.18541769128468813,52.79695510864258,53.37750244140625,11.485582612815845,2.2666666666666666,15,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E8_joint_shift_v1__ood_peak_baseline
E8_joint_shift_v1,ood_peak_baseline,m2_score,24,0.34391729897104,0.3075718478694207,0.41823193128535513,0.18541769128468813,52.79695510864258,53.37750244140625,11.485582612815845,2.2666666666666666,15,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E8_joint_shift_v1__ood_peak_baseline
E8_joint_shift_v1,ood_peaktime_baseline,m1,24,0.31478928669208545,0.29689260908147885,0.4102878911802558,0.20456318185539074,50.041133880615234,54.10887145996094,10.063416948173236,4.533333333333333,15,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E8_joint_shift_v1__ood_peaktime_baseline
E8_joint_shift_v1,ood_peaktime_baseline,m2_data,24,0.31672350485345185,0.2906022618319777,0.36205043003644466,0.18378691808162245,53.439754486083984,53.45659255981445,9.15340856959124,4.2,15,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E8_joint_shift_v1__ood_peaktime_baseline
E8_joint_shift_v1,ood_peaktime_baseline,m2_score,24,0.31672350485345185,0.2906022618319777,0.36205043003644466,0.18378691808162245,53.439754486083984,53.45659255981445,9.15340856959124,4.2,15,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E8_joint_shift_v1__ood_peaktime_baseline
