part,run_key,scenario,family,model,axis,severity_bin,severity_rank,n,rel_l2_h_mean,rel_l2_h_median,rel_l2_c_mean,rel_l2_c_median,bt_mae_hours
B,e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m1,q_top_peak,peak_5.5,4,29,0.5158843473215808,0.5180148359036312,0.35494529093720184,0.3081479364439752,11.36
B,e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m1,q_top_peak,peak_6.5,5,27,0.4687557197098129,0.42147738855991324,0.3199338882573861,0.279046035246108,12.375
B,e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m1,q_top_peak,peak_8.0,6,22,0.5392875330796025,0.4763617804570353,0.5336568868997474,0.3462348893887358,18.444444444444443
B,e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak,peak_5.5,4,29,0.33786953200074,0.27763140587415885,0.21743172625375368,0.19755052443122972,8.16
B,e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak,peak_6.5,5,27,0.29850355909140475,0.2615749957239675,0.19594731685649888,0.13020587701334596,7.958333333333333
B,e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak,peak_8.0,6,22,0.36676755707592146,0.3180254242134589,0.2941206450786045,0.1939320268890774,15.722222222222221
B,e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak,peak_5.5,4,29,0.34547387228950155,0.2880056066242559,0.21482398861785507,0.201507913730387,9.64
B,e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak,peak_6.5,5,27,0.2933209628116523,0.2512575078752792,0.22833879659878556,0.22892784544335967,11.0
B,e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak,peak_8.0,6,22,0.32144832145313285,0.2885031543954275,0.3082971155218932,0.20439713868466805,13.722222222222221
A,iid_baseline,iid,deeponet_baseline,m1,q_top_peak,p00_p90,0,96,0.3669963063003972,0.3476866347107915,0.19931501547612754,0.155420840288006,9.761904761904763
A,iid_baseline,iid,deeponet_baseline,m1,q_top_peak,p90_p95,1,9,0.4432995990001136,0.41083403577654276,0.1919863421990949,0.18208763179827717,5.125
A,iid_baseline,iid,deeponet_baseline,m1,q_top_peak,p95_p98,2,4,0.29950822774899166,0.3223017366827478,0.23114240938251135,0.24149298258419918,18.0
A,iid_baseline,iid,deeponet_baseline,m1,q_top_peak,p98_p100,3,3,0.450008962002542,0.5050878610339717,0.18382057356215112,0.19651465267014023,14.333333333333334
A,ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak,p90_p95,1,36,0.22807617772302619,0.2193058873097366,0.1160453425905355,0.07163651478723418,5.0
A,ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak,p95_p98,2,25,0.2876709793209325,0.2648680953525245,0.15351389558416778,0.1350024016913264,8.857142857142858
A,ood_peak_baseline,ood_peak,deeponet_baseline,m1,q_top_peak,p98_p100,3,14,0.2744894760451009,0.24958782986796602,0.13608604074125158,0.09087719997934024,6.833333333333333
A,ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak,p00_p90,0,68,0.23435553820118377,0.21965034509532702,0.10649651189908253,0.07674464580187974,7.344827586206897
A,ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak,p90_p95,1,2,0.22467570392643982,0.22467570392643982,0.040760261394222876,0.040760261394222876,2.5
A,ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak,p95_p98,2,4,0.22144554988632492,0.2180238393752051,0.14533849202537583,0.1476279397037238,1.6666666666666667
A,ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,q_top_peak,p98_p100,3,2,0.24086299585545412,0.24086299585545412,0.10666866622971467,0.10666866622971467,14.5
B,e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,peak_5.5,4,29,0.38816283958096476,0.3583311556455107,0.26583361476165224,0.23362740601317125,11.16
B,e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,peak_6.5,5,27,0.39822064885667185,0.3281910145266262,0.27599727774040567,0.18138800544161207,14.416666666666666
B,e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,peak_8.0,6,22,0.45546490774187026,0.36807701642591306,0.4519038548693075,0.2833082366701065,19.833333333333332
B,e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak,peak_5.5,4,29,0.34304996059963555,0.2691540963922837,0.21579530693910903,0.192366424577354,4.08
B,e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak,peak_6.5,5,27,0.29728362263176966,0.2743096937899449,0.1676701058920604,0.11926847378349471,7.458333333333333
