group,budget,scenario,run,model,seed,h_rel_l2_median,c_rel_l2_median,h_rel_l2_mean,c_rel_l2_mean,front_error_mean_cm,bt_mae_hours,stop_epoch,best_epoch,train_wallclock_min
E1_parity,high,ood_peak_time,e1_shift_highbudget_ood_peak_time_s123,m2_data,123,0.2188,0.0929,0.2837,0.1266,6.1498,5.4769,3800,1800,51.6375
E1_parity,high,ood_peak_time,e1_shift_highbudget_ood_peak_time_s42,m1,42,0.1841,0.0697,0.2229,0.0926,4.1256,4.1385,5000,3300,20.0361
E1_parity,high,ood_peak_time,e1_shift_highbudget_ood_peak_time_s42,m2_data,42,0.1814,0.0706,0.2241,0.0956,4.2712,3.7231,3500,1500,44.6208
E1_parity,high,ood_peak_time,e1_shift_highbudget_ood_peak_time_s456,m1,456,0.1672,0.0653,0.2006,0.0898,3.7781,2.5692,4700,2700,23.3052
E1_parity,high,ood_peak_time,e1_shift_highbudget_ood_peak_time_s456,m2_data,456,0.1501,0.0624,0.1950,0.0863,3.5909,3.2154,2100,1,14.0998
orig_regshift,high,iid,g4_regshift_iid_s42,m2_data,42,0.1497,0.0523,0.1802,0.0732,3.4410,2.1224,2100,1,24.0876
orig_regshift,high,iid,g4_regshift_iid_s123,m2_data,123,0.1778,0.0664,0.2057,0.0949,4.8329,2.6633,2100,1,23.6277
orig_regshift,high,iid,g4_regshift_iid_s456,m2_data,456,0.1418,0.0640,0.1678,0.0785,3.8221,5.7245,2100,1,23.0951
orig_regshift,high,ood_peak,g4_regshift_ood_peak_s42,m2_data,42,0.2068,0.0805,0.2467,0.1084,4.8814,4.7385,2100,1,23.2128
orig_regshift,high,ood_peak,g4_regshift_ood_peak_s123,m2_data,123,0.1491,0.0656,0.1996,0.0944,4.4896,1.9231,2100,1,23.7667
orig_regshift,high,ood_peak,g4_regshift_ood_peak_s456,m2_data,456,0.1488,0.0570,0.1814,0.0756,3.7511,1.5385,2100,1,23.5964
orig_regshift,high,ood_peak_time,g4_regshift_ood_time_s42,m1,42,0.1785,0.0845,0.2279,0.1134,5.6190,3.9538,4400,2400,37.0109
orig_regshift,high,ood_peak_time,g4_regshift_ood_time_s42,m2_data,42,0.1761,0.0821,0.2184,0.0974,4.6876,3.7077,2100,1,23.1602
orig_regshift,high,ood_peak_time,g4_regshift_ood_time_s123,m1,123,0.1247,0.0640,0.1802,0.0885,3.8724,1.9692,5000,3800,41.9189
orig_regshift,high,ood_peak_time,g4_regshift_ood_time_s123,m2_data,123,0.1312,0.0624,0.1794,0.0860,3.7951,1.9538,2100,1,23.2062
orig_regshift,high,ood_peak_time,g4_regshift_ood_time_s456,m1,456,0.1764,0.0650,0.1992,0.0889,3.7742,3.3077,5000,3800,42.3422
orig_regshift,high,ood_peak_time,g4_regshift_ood_time_s456,m2_data,456,0.1674,0.0637,0.1994,0.0911,3.8916,3.5692,2100,1,23.2871
regshift_high_fixed,high,iid,e0_regshift_fixed_iid_s123,m1,123,0.1917,0.0710,0.2156,0.0994,4.1311,4.1327,4000,2000,26.9109
regshift_high_fixed,high,iid,e0_regshift_fixed_iid_s123,m2_data,123,0.1825,0.0598,0.2072,0.0872,4.1611,3.3878,2100,100,17.4105
regshift_high_fixed,high,iid,e0_regshift_fixed_iid_s42,m1,42,0.2195,0.0957,0.2276,0.1124,5.0148,9.5612,4000,2000,31.8087
regshift_high_fixed,high,iid,e0_regshift_fixed_iid_s42,m2_data,42,0.1965,0.0610,0.2058,0.0851,4.3494,5.1939,2400,400,27.0907
regshift_high_fixed,high,iid,e0_regshift_fixed_iid_s456,m1,456,0.2122,0.0744,0.2204,0.1060,4.6871,3.1429,4700,2700,31.3967
